epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37147,1.88386,4.88714,1.62002,0.00132,0.07143,0.00109,0.00051,1.72571,4.05868,1.73977,6.25e-05,6.25e-05,6.25e-05
2,5.38788,1.79526,4.89157,1.44908,0.00376,0.25,0.17458,0.11611,1.29915,3.78514,1.32301,0.000132962,0.000132962,0.000132962
3,7.58546,1.38156,4.24644,1.21516,0.00331,0.25,0.24875,0.18283,1.1294,3.73094,1.09834,0.000198475,0.000198475,0.000198475
4,10.0266,1.51274,4.12229,1.2562,0.00362,0.38889,0.25926,0.19095,1.12452,3.65794,1.06323,0.000259038,0.000259038,0.000259038
5,12.0604,1.36653,3.69595,1.16168,0.00364,0.38889,0.28254,0.21001,1.02197,3.54289,1.00172,0.00031465,0.00031465,0.00031465
6,14.0267,1.30645,3.03285,1.12692,0.00413,0.72222,0.40825,0.24072,1.223,3.49995,1.09175,0.000365313,0.000365313,0.000365313
7,15.9936,1.25317,2.5371,1.13512,0.00422,0.6,0.48308,0.30696,1.02384,3.40284,0.98343,0.000411025,0.000411025,0.000411025
8,17.8838,1.3797,2.168,1.20586,0.00449,0.6,0.49763,0.35222,0.99765,3.30427,0.95774,0.000451787,0.000451787,0.000451787
9,19.9748,1.26126,1.92813,1.15521,0.00403,0.59444,0.41652,0.28725,1.08945,3.16986,1.02342,0.0004876,0.0004876,0.0004876
10,24.2057,1.25983,2.03135,1.18449,0.00395,0.59444,0.48371,0.31719,1.10967,3.10044,1.04386,0.000518462,0.000518462,0.000518462
11,26.276,1.20419,1.78787,1.10176,0.99353,0.34331,0.51926,0.37259,1.06434,2.89572,1.0165,0.000544375,0.000544375,0.000544375
12,28.0852,1.20115,1.89146,1.12233,1,0.17152,0.55389,0.40485,1.07866,2.88143,1.00617,0.000565338,0.000565338,0.000565338
13,30.0685,1.17347,1.80058,1.10195,0.98939,0.45975,0.74625,0.50295,1.1072,2.82492,1.03191,0.00058135,0.00058135,0.00058135
14,32.1124,1.17227,1.69055,1.07122,0.99288,0.43392,0.7473,0.51075,1.12769,2.51725,1.03772,0.000592413,0.000592413,0.000592413
15,33.9569,1.22415,1.64281,1.1292,0.98055,0.55329,0.74882,0.52814,1.04364,2.33014,1.00705,0.000598525,0.000598525,0.000598525
16,35.8758,1.18997,1.58556,1.09001,0.97351,0.72924,0.75192,0.51924,1.25907,2.32611,1.1721,0.000599687,0.000599687,0.000599687
17,37.6538,1.19902,1.58554,1.10614,0.99282,0.68509,0.75655,0.52665,1.20101,2.35393,1.10189,0.00059,0.00059,0.00059
18,39.3971,1.26265,1.72278,1.1076,0.98961,0.74484,0.76177,0.53666,1.12433,1.79988,1.10975,0.00054875,0.00054875,0.00054875
19,41.1847,1.24117,1.68631,1.12554,0.98152,0.74672,0.87005,0.61274,1.09706,1.64878,1.09631,0.0005075,0.0005075,0.0005075
20,43.0315,1.2171,1.56329,1.12515,0.98155,0.75,0.87005,0.63099,1.05849,1.71244,1.06994,0.00046625,0.00046625,0.00046625
21,48.5826,1.14645,1.74828,1.12487,0.97343,0.75,0.87005,0.63454,1.03654,1.73439,1.03867,0.000425,0.000425,0.000425
22,50.8489,1.11159,1.68904,1.13991,0.86259,0.875,0.87005,0.63185,1.05549,1.41661,1.03107,0.00038375,0.00038375,0.00038375
23,52.7804,1.15768,1.65335,1.09561,0.84157,0.875,0.87189,0.62141,1.02823,1.29665,1.01677,0.0003425,0.0003425,0.0003425
24,54.588,1.09491,1.61703,1.07416,0.83574,0.875,0.8819,0.60202,1.0354,1.214,1.03515,0.00030125,0.00030125,0.00030125
25,58.8382,1.12144,1.61061,1.11219,0.87187,0.875,0.88562,0.58798,1.05054,1.19364,1.04619,0.00026,0.00026,0.00026
26,60.6706,1.1093,1.60341,1.09256,0.82696,0.95879,0.95333,0.647,1.00287,1.06859,1.02424,0.00021875,0.00021875,0.00021875
27,62.5223,1.04161,1.48913,1.08074,0.87501,0.875,0.9325,0.64789,0.97277,1.00579,1.00584,0.0001775,0.0001775,0.0001775
28,64.4169,1.06198,1.50692,1.06189,0.85384,0.875,0.92,0.64305,0.9682,0.98094,1.00116,0.00013625,0.00013625,0.00013625
29,66.2067,1.03452,1.47682,1.07401,0.87438,0.875,0.92,0.64303,0.97238,0.96684,1.00265,9.5e-05,9.5e-05,9.5e-05
30,68.0592,1.04358,1.49328,1.08411,0.92185,0.875,0.9325,0.65225,0.97603,0.94367,1.00237,5.375e-05,5.375e-05,5.375e-05
